,tweet_id,retweet_count,likes
0,892420643555336193,7207,34593
1,892177421306343426,5409,29991
2,891815181378084864,3574,22570
3,891689557279858688,7428,37858
4,891327558926688256,7970,36147
5,891087950875897856,2677,18229
6,890971913173991426,1720,10621
7,890729181411237888,16226,58233
8,890609185150312448,3718,25106
9,890240255349198849,6264,28624
10,890006608113172480,6311,27642
11,889880896479866881,4284,25137
12,889665388333682689,8583,43074
13,889638837579907072,3830,24215
14,889531135344209921,1930,13648
15,889278841981685760,4571,22631
16,888917238123831296,3846,26206
17,888804989199671297,3635,22980
18,888554962724278272,2961,17732
19,888078434458587136,2978,19586
20,887705289381826560,4650,27250
21,887517139158093824,10097,41699
22,887473957103951883,15434,61673
23,887343217045368832,9047,30266
24,887101392804085760,5117,27599
25,886983233522544640,6534,31134
26,886736880519319552,2722,10736
27,886680336477933568,3841,20217
28,886366144734445568,2709,18982
29,886267009285017600,3,104
30,886258384151887873,5421,25141
31,886054160059072513,96,0
32,885984800019947520,5766,29283
33,885528943205470208,5493,32329
34,885518971528720385,3196,18420
35,885311592912609280,15863,0
36,885167619883638784,3759,19672
37,884925521741709313,15466,68992
38,884876753390489601,4789,24975
39,884562892145688576,4024,21839
40,884441805382717440,4907,24418
41,884247878851493888,17415,64918
42,884162670584377345,2560,18359
43,883838122936631299,2939,19640
44,883482846933004288,8499,41181
45,883360690899218434,3163,20405
46,883117836046086144,5686,33320
47,882992080364220416,3320,21475
48,882762694511734784,4207,25374
49,882627270321602560,5209,25192
50,882268110199369728,9946,40174
51,882045870035918850,4187,26371
52,881906580714921986,2925,21938
53,881666595344535552,9202,45610
54,881633300179243008,8,113
55,881536004380872706,13773,44497
56,881268444196462592,4596,20973
57,880935762899988482,2399,15390
58,880872448815771648,3287,19166
59,880465832366813184,5346,25582
60,880221127280381952,3575,24252
61,880095782870896641,3744,24869
62,879862464715927552,2999,20178
63,879674319642796034,9,284
64,879492040517615616,2715,21184
65,879415818425184262,38474,95077
66,879376492567855104,2706,15195
67,879130579576475649,5886,0
68,879050749262655488,4054,20286
69,879008229531029506,2308,17158
70,878776093423087618,3530,17510
71,878604707211726852,6084,27039
72,878404777348136964,1101,0
73,878316110768087041,5696,0
74,878281511006478336,1101,6955
75,878057613040115712,5886,37960
76,877736472329191424,16272,71116
77,877611172832227328,70,0
78,877556246731214848,3262,20430
79,877316821321428993,4477,24740
80,877201837425926144,4776,24415
81,876838120628539392,2873,18657
82,876537666061221889,4081,21496
83,876484053909872640,2051,16950
84,876120275196170240,4019,25248
85,875747767867523072,3688,22690
86,875144289856114688,4240,19823
87,875097192612077568,5268,24800
88,875021211251597312,4084,23063
89,874680097055178752,4027,25158
90,874434818259525634,12567,0
91,874296783580663808,3582,23550
92,874057562936811520,3466,20597
93,874012996292530176,8817,30825
94,873580283840344065,3417,21929
95,873337748698140672,1363,0
96,873213775632977920,1363,6467
97,872967104147763200,4679,24621
98,872820683541237760,3241,13367
99,872620804844003328,3149,18786
100,872486979161796608,7924,36937
101,872122724285648897,7040,30985
102,871879754684805121,9496,33907
103,871762521631449091,3042,18313
104,871515927908634625,3023,18292
105,871166179821445120,5006,0
106,871102520638267392,4822,18981
107,871032628920680449,3315,20636
108,870804317367881728,5410,30515
109,870726314365509632,3,109
110,870656317836468226,2268,11137
111,870374049280663552,23376,75716
112,870308999962521604,3635,19927
113,870063196459192321,7262,33146
114,869772420881756160,8913,38816
115,869702957897576449,5515,25619
116,869596645499047938,2708,14538
117,869227993411051520,3292,18561
118,868880397819494401,12613,59349
119,868639477480148993,1801,0
120,868622495443632128,4615,24207
121,868552278524837888,1802,9192
122,867900495410671616,3672,22077
123,867774946302451713,6421,30942
124,867421006826221569,2182,14658
125,867072653475098625,106,0
126,867051520902168576,6954,29361
127,866720684873056260,4231,18238
128,866686824827068416,3041,17548
129,866450705531457537,31110,111444
130,866334964761202691,12567,47712
131,866094527597207552,7366,0
132,865718153858494464,4983,23500
133,865359393868664832,4411,24169
134,865006731092295680,6828,25638
135,864873206498414592,7685,29474
136,864279568663928832,2651,13369
137,864197398364647424,7790,27306
138,863907417377173506,3684,18902
139,863553081350529029,3732,13972
140,863471782782697472,2141,0
141,863432100342583297,4676,21839
142,863427515083354112,82,2003
143,863079547188785154,987,8069
144,863062471531167744,2141,7709
145,862831371563274240,4577,17594
146,862722525377298433,3170,15696
147,862457590147678208,4362,18700
148,862096992088072192,20556,67927
149,861383897657036800,9543,33091
150,861288531465048066,3687,15745
151,861005113778896900,3413,15356
152,860981674716409858,1904,0
153,860924035999428608,696,0
154,860563773140209665,1904,6883
155,860524505164394496,4735,21767
156,860276583193509888,3148,16991
157,860184849394610176,5242,15329
158,860177593139703809,27577,0
159,859924526012018688,3678,18082
160,859851578198683649,3160,14280
161,859607811541651456,1390,17215
162,859196978902773760,27020,82622
163,859074603037188101,12281,31147
164,858860390427611136,7294,0
165,858843525470990336,3110,14437
166,858471635011153920,4387,19957
167,858107933456039936,2601,14585
168,857989990357356544,2321,14857
169,857746408056729600,9597,31585
170,857393404942143489,1475,5437
171,857263160327368704,4080,18650
172,857214891891077121,16,207
173,857062103051644929,152,0
174,857029823797047296,3591,17463
175,856543823941562368,2617,15213
176,856526610513747968,1707,11079
177,856288084350160898,15,495
178,856282028240666624,5728,25830
179,855862651834028034,22,311
180,855860136149123072,876,4541
181,855857698524602368,1907,11092
182,855851453814013952,16531,42859
183,855818117272018944,4951,24830
184,855459453768019968,7488,27740
185,855245323840757760,5421,0
186,855138241867124737,39,0
187,854732716440526848,5530,21230
188,854482394044301312,6202,27265
189,854365224396361728,4275,17632
190,854120357044912130,6804,29894
191,854010172552949760,2883,15208
192,853760880890318849,5271,26741
193,853639147608842240,9136,32370
194,853299958564483072,3252,14509
195,852936405516943360,1833,0
196,852912242202992640,1656,8454
197,852672615818899456,1991,14005
198,852553447878664193,3208,15275
199,852311364735569921,9128,31098
200,852226086759018497,6269,18766
201,852189679701164033,1458,10805
202,851861385021730816,19,0
203,851591660324737024,3220,15327
204,851464819735769094,6507,22839
205,851224888060895234,5311,19505
206,850753642995093505,8346,28906
207,850380195714523136,2402,12371
208,850333567704068097,306,3271
209,850145622816686080,3492,15394
210,850019790995546112,4504,19249
211,849776966551130114,7024,28654
212,849668094696017920,4589,0
213,849412302885593088,2917,15016
214,849336543269576704,1740,10809
215,849051919805034497,7858,40019
216,848690551926992896,4019,23869
217,848324959059550208,4290,23419
218,848213670039564288,669,7737
219,848212111729840128,2804,15424
220,847978865427394560,3024,0
221,847971574464610304,411,0
222,847962785489326080,4726,22285
223,847842811428974592,1222,5130
224,847617282490613760,383,6633
225,847606175596138505,3178,17805
226,847251039262605312,4032,19464
227,847157206088847362,5403,18826
228,847116187444137987,2958,20360
229,846874817362120707,3653,19072
230,846514051647705089,10725,42220
231,846505985330044928,2854,13415
232,846153765933735936,8434,29896
233,846139713627017216,9419,29478
234,846042936437604353,2665,15181
235,845812042753855489,8091,27765
236,845677943972139009,4504,23991
237,845397057150107648,1660,7272
238,845306882940190720,5019,22178
239,845098359547420673,7141,0
240,844979544864018432,2378,12973
241,844973813909606400,2951,14293
242,844580511645339650,2895,15653
243,844223788422217728,2043,13025
244,843981021012017153,2775,14473
245,843856843873095681,4306,20456
246,843604394117681152,2557,16110
247,843235543001513987,5592,20492
248,842846295480000512,3412,14590
249,842765311967449089,1197,6432
250,842535590457499648,3286,17329
251,842163532590374912,5421,23326
252,842115215311396866,2840,13342
253,841833993020538882,14022,0
254,841680585030541313,7364,24627
255,841439858740625411,3421,12044
256,841320156043304961,5175,18920
257,841314665196081154,4356,15123
258,841077006473256960,5006,21858
259,840761248237133825,1654,0
260,840728873075638272,15044,0
261,840698636975636481,2,169
262,840696689258311684,909,11749
263,840632337062862849,1654,8620
264,840370681858686976,4291,15731
265,840268004936019968,5384,18385
266,839990271299457024,2127,12850
267,839549326359670784,7294,26218
268,839290600511926273,137,0
269,839239871831150596,6103,25888
270,838952994649550848,3763,18830
271,838921590096166913,1921,10677
272,838916489579200512,31,0
273,838831947270979586,10359,0
274,838561493054533637,1258,10515
275,838476387338051585,4471,21514
276,838201503651401729,9460,0
277,838150277551247360,312,1598
278,838085839343206401,1,134
279,838083903487373313,2924,16890
280,837820167694528512,7366,32634
281,837482249356513284,420,3705
282,837471256429613056,2123,12286
283,837110210464448512,2235,15427
284,836989968035819520,2173,12257
285,836753516572119041,4373,18580
286,836677758902222849,2089,12130
287,836648853927522308,521,0
288,836397794269200385,25901,0
289,836380477523124226,2824,14212
290,836260088725786625,4096,20467
291,836001077879255040,4020,18351
292,835685285446955009,7676,0
293,835574547218894849,3403,17097
294,835536468978302976,1589,0
295,835309094223372289,19760,0
296,835297930240217089,2828,15837
297,835264098648616962,1589,7417
298,835246439529840640,67,2022
299,835172783151792128,5425,25166
300,835152434251116546,2839,21489
301,834931633769889797,1523,10356
